user;timeStamp;idParent;Id_Article
PoulaFl;1479332147;Le Monde;international_1
leoyfsan17;1479332127;Le Monde;international_1
Dvnny66;1479331943;Le Monde;international_1
koyema;1479331830;Le Monde;international_1
samira_hannou;1479331520;Le Monde;international_1
Moochite;1479331364;Le Monde;international_1
Playmogeek;1479331331;Le Monde;international_1
Den_Soph;1479331299;Le Monde;international_1
serverdaderos;1479331192;Le Monde;international_1
Chosen_One_SS;1479331184;Le Monde;international_1
mado83700;1479331091;Le Monde;international_1
EApaolaza;1479331073;Le Monde;international_1
RenegadeGiana;1479330866;Le Monde;international_1
Sellig67;1479330773;Le Monde;international_1
cyrilletrignac;1479330749;Le Monde;international_1
griseldamussett;1479330684;Le Monde;international_1
KEFISamy;1479330669;Le Monde;international_1
elcaracolpeludo;1479330667;Le Monde;international_1
bornhaters_x;1479330649;Le Monde;international_1
lenouvelair;1479330648;Le Monde;international_1
Xdoom64;1479330613;Le Monde;international_1
FrancePeloso;1479330608;Le Monde;international_1
Claritarohingya;1479330587;Le Monde;international_1
SamyGs;1479330577;Le Monde;international_1
TheGuiGunner;1479330549;Le Monde;international_1
znya_ex;1479330547;Le Monde;international_1
Animalfree76;1479330530;Le Monde;international_1
Romain_Mamert;1479330514;Le Monde;international_1
jkyhagi;1479330456;Le Monde;international_1
Alice LEMOAL;1479329258;null;international_1
Dernières nouvelles;1479328394;null;international_1
PierredeGasquet;1479329417;Dernières nouvelles;international_1
CasYannPiat;1479328991;Dernières nouvelles;international_1
Le Monde Afrique;1479328212;null;international_1
AfriKstrategies;1479376056;Le Monde Afrique;international_1
Joce1983;1479336287;Le Monde Afrique;international_1
evaines10;1479334547;Le Monde Afrique;international_1
Djab_Bouti;1479331179;Le Monde Afrique;international_1
CariusManuel;1479330763;Le Monde Afrique;international_1
murieleroy;1479329801;Le Monde Afrique;international_1
NatachaSeck;1479329061;Le Monde Afrique;international_1
ilariallegro;1479328775;Le Monde Afrique;international_1
koula84;1479328652;Le Monde Afrique;international_1
Globalnews;1479328150;null;international_1
smalnews;1479328150;null;international_1
Houdin;1479369965;null;international_2
passatsp;1479765124;Houdin;international_2
ChamelleVerte;1479370538;Houdin;international_2
RomainDionLR;1479370341;Houdin;international_2
Gonosen;1479362773;null;international_2
Jean-Philippe Daigle;1479336835;null;international_2
Le Monde;1479336606;null;international_2
MacremeK;1479722776;Le Monde;international_2
mdembele6;1479700343;Le Monde;international_2
Seiko971;1479468334;Le Monde;international_2
moove_rh;1479416420;Le Monde;international_2
Davlefou;1479415803;Le Monde;international_2
MaAuEsCle;1479410195;Le Monde;international_2
Ninouil;1479395284;Le Monde;international_2
LosySoraya;1479389295;Le Monde;international_2
CamilleP08;1479384889;Le Monde;international_2
Mariel02person;1479382558;Le Monde;international_2
bouadjimii;1479380671;Le Monde;international_2
Nesqouiik;1479379484;Le Monde;international_2
FCamet;1479376125;Le Monde;international_2
Julia_f91;1479376080;Le Monde;international_2
Pakyfirst;1479374903;Le Monde;international_2
8rphilippe;1479371820;Le Monde;international_2
anaisjmr;1479367868;Le Monde;international_2
comte_fenix;1479367782;Le Monde;international_2
phil20129;1479367708;Le Monde;international_2
vladimir1143;1479367246;Le Monde;international_2
cyrilpaug;1479366876;Le Monde;international_2
nana29900;1479366530;Le Monde;international_2
AxelTravers;1479366449;Le Monde;international_2
simonntyam;1479365871;Le Monde;international_2
jennyheisenberg;1479364454;Le Monde;international_2
lea_anjou;1479364418;Le Monde;international_2
LeWorldobelge;1479364310;Le Monde;international_2
CvallatVallat;1479363736;Le Monde;international_2
MagaLP8;1479363614;Le Monde;international_2
Xtr3m_77;1479363281;Le Monde;international_2
Nuoc_and_Nam;1479362439;Le Monde;international_2
expertlgv;1479362334;Le Monde;international_2
Johan_dy;1479361658;Le Monde;international_2
Chris_Hennequin;1479361651;Le Monde;international_2
claidonmaxime74;1479361584;Le Monde;international_2
AlysonBu;1479361124;Le Monde;international_2
Charbel_v2L;1479360871;Le Monde;international_2
sabran3375;1479360141;Le Monde;international_2
saqqara38;1479359840;Le Monde;international_2
ANNMPHIL;1479359323;Le Monde;international_2
10chrisR;1479357850;Le Monde;international_2
maslarelou;1479357390;Le Monde;international_2
CrcElise;1479356354;Le Monde;international_2
omi75;1479353643;Le Monde;international_2
elcanelofrench;1479353533;Le Monde;international_2
degioanni;1479351364;Le Monde;international_2
ChiracJoachim;1479350522;Le Monde;international_2
bir6463;1479349853;Le Monde;international_2
teixeira_felis;1479349575;Le Monde;international_2
NappyBoop;1479349328;Le Monde;international_2
cinchama;1479348922;Le Monde;international_2
maevaminalucho;1479348211;Le Monde;international_2
esprit1789;1479347174;Le Monde;international_2
cyrilletrignac;1479344849;Le Monde;international_2
hippeanuts;1479344729;Le Monde;international_2
Danny_Chau94;1479344507;Le Monde;international_2
walidarrach;1479344112;Le Monde;international_2
BETINHOBELUDI;1479343727;Le Monde;international_2
coviolgrand;1479343703;Le Monde;international_2
NissaNinouss;1479343511;Le Monde;international_2
com4myst_blgspt;1479343448;Le Monde;international_2
CelikRDC;1479342955;Le Monde;international_2
AlainJJJ;1479342589;Le Monde;international_2
KUBISVANECLOO;1479342400;Le Monde;international_2
AttiBear;1479342127;Le Monde;international_2
tintinhio;1479342062;Le Monde;international_2
SENNAXF;1479341584;Le Monde;international_2
idee_kenkyu;1479341142;Le Monde;international_2
DrChicken7;1479341083;Le Monde;international_2
JohnLockeNLS;1479340694;Le Monde;international_2
Kriol62;1479340660;Le Monde;international_2
Jeanbaptiste_m;1479340595;Le Monde;international_2
AgnesD48;1479340294;Le Monde;international_2
Dadinho970;1479339974;Le Monde;international_2
ELYAAGOUBI_Badr;1479339919;Le Monde;international_2
Delmaire7;1479339673;Le Monde;international_2
soleil82639;1479339365;Le Monde;international_2
m_nachtergael;1479339223;Le Monde;international_2
QueenMSheba;1479339065;Le Monde;international_2
cedric_ccc;1479339048;Le Monde;international_2
Aymen_Hannibal;1479338877;Le Monde;international_2
N_villequey;1479338825;Le Monde;international_2
MohamedmFawaz;1479338819;Le Monde;international_2
Aurore_2708;1479338818;Le Monde;international_2
WnewsToday;1479327853;null;international_2
InfoMonde;1479327400;null;international_2
PolitiqueFrance.fr;1479326948;null;international_2
Nicolas Mérand;1479367363;null;international_3
Jordi Pla;1479343664;null;international_3
BIOGEC;1479342013;null;international_3
the_Red_Tie;1479335169;null;international_3
Le Monde;1479333546;null;international_3
DutchDrB;1479541618;Le Monde;international_3
CharreEmmanuel;1479418370;Le Monde;international_3
FrolixGaming;1479411210;Le Monde;international_3
GrandCfdt;1479389389;Le Monde;international_3
wheelbrator;1479371281;Le Monde;international_3
CfdtChristophe;1479366587;Le Monde;international_3
jimlegrand;1479364158;Le Monde;international_3
f_mieturka;1479362984;Le Monde;international_3
T4iZo;1479362008;Le Monde;international_3
icky089;1479359973;Le Monde;international_3
jane46220;1479359262;Le Monde;international_3
marielaurecha;1479356159;Le Monde;international_3
The_Rima_66;1479355043;Le Monde;international_3
CvlCarla;1479348275;Le Monde;international_3
esprit1789;1479347188;Le Monde;international_3
idee_kenkyu;1479341159;Le Monde;international_3
